V119RF 376249  376532
V120RF 401348  401649
V121RF 488320  488615
V122RF 500476  500762
V123RF 519212  519501
V124RF 529172  529458
V125RF 565497  565789
V126RF 578732  579024
V127RF 591554  591843
V128RF 596993  597288
V129RF 617954  618243
V130RF 640532  640818
V131RF 652596  652891
V132RF 666452  666744
V133RF 672397  672698
V134RF 690719  691011
V135RF 728127  728425
V136RF 739934  740217
V137RF 749403  749689
V138RF 761626  761915
V139RF 764845  765146
V140RF 800534  800820
V141RF 810884  811176
V142RF 839335  839630
V143RF 872392  872681
V144RF 880635  880933
V145RF 891540  891829
V147RF 955188  955477
V148RF 959650  959939
V149RF 967088  967386
V150RF 978092  978390
V151RF 987208  987503
V152RF 1004598  1004881
V153RF 1018152  1018459
V154RF 1023919  1024205
V155RF 1047022  1047311
V156RF 1051889  1052175
V157RF 1064813  1065099
V158RF 1069500  1069789
V159RF 1107467  1107768
V160RF 1116975  1117273
V161RF 1140579  1140865
V162RF 1151526  1151815
V163RF 1157941  1158242
V195RF 1498  1793
V201RF 2885  3195
