V0RF 499986  500293
V1RF 603028  603353
V2RF 626321  626628
V3RF 636156  636463
V4RF 647188  647498
V5RF 687899  688209
V6RF 707274  707563
V7RF 715143  715453
V8RF 735210  735538
V9RF 880402  880712
V10RF 918680  918987
V11RF 923194  923519
V12RF 928007  928314
V13RF 933346  933653
V14RF 949606  949910
V15RF 956352  956662
V16RF 960992  961299
V17RF 970232  970539
V18RF 979758  980065
V19RF 988829  989136
V20RF 996452  996762
V21RF 1001029  1001336
V22RF 1014415  1014722
V23RF 1036507  1036814
V24RF 1041515  1041822
V25RF 1047339  1047646
V26RF 1070105  1070415
V27RF 1074654  1074961
V28RF 1112608  1112930
V29RF 1376637  1376938
V30RF 1381115  1381416
V31RF 1387607  1387908
V32RF 1396836  1397131
V33RF 1405131  1405432
V34RF 1412772  1413073
V35RF 1431851  1432152
V36RF 1440260  1440561
V37RF 1452424  1452725
V38RF 1476242  1476552
V39RF 1499971  1500272
V40RF 1510596  1510897
